ID	long	lat	presences
SXL	-8.08555	41.9056	1
DJ	-3.31659	38.71414	2
BUR	-8.55524	42.18557	2
AYO	-1.05745	39.0609	2
MOn	-0.61467	39.33986	2
XAB	0.10622	38.76471	3
LORMU	-1.69268	37.66978	3
RIC	-1.26123	38.08303	3
CAC	-7.33222	42.06869	3
ECS	-7.41054	42.12198	3
SVC	-7.20664	42.13843	3
SXM	-7.98542	41.95434	3
MA	-8.66323	42.12086	3
RO	-8.67255	42.03578	3
ROD	-2.02864	36.91058	4
CA6	-6.1343	36.68489	4
BAR	-8.46667	42.19704	4
SE2	-5.9384	36.98264	4
CA10	-5.35138	36.76783	5
CA7	-6.32594	36.77813	5
CO89B	-5.01709	38.07666	5
PIC	-8.53973	42.22953	5
CA4	-5.72395	36.4697	6
GR326	-3.69047	36.77264	6
CA1	-6.08174	36.31472	7
ELX	-0.69279	38.26632	8
ASS	-6.33245	40.29943	8
CA3	-6.41145	36.70133	8
CO89	-4.89921	37.92735	8
SXE	-8.11904	41.93247	8
SE3	-5.54247	37.26033	8
SE7	-5.78114	37.18242	8
GUA	-0.19948	38.67791	9
CA2	-5.92243	36.22961	9
CA8	-5.33081	36.68036	9
EESP	-1.06885	38.03902	9
PnS	-1.04046	38.40646	10
TOR	-0.41746	38.60882	10
AL525	-2.29476	37.48408	10
CA5	-6.0704	36.6816	10
ST	-5.18069	36.86245	10
CO128	-5.01975	37.81092	10
FCO247	-4.67093	37.9322	10
GR323	-3.57489	37.1932	10
GR324	-3.56473	36.92485	10
GR325	-3.5175	36.74816	10
CBMA	-5.045	36.8741	10
COM	-3.97842	36.83404	10
LURR	-0.86474	37.69044	10
UnI	-0.77279	37.60846	10
SJV	-0.81091	37.90091	12
SE_1	-5.37237	36.75919	13
CO113	-4.38261	38.02876	13
MOR	-1.8898	38.19114	13
SE5	-6.03965	36.85259	13
GR3212	-3.4642	37.19459	18
COI	-4.75957	36.66889	19
BER	-2.94815	36.8465	20
GR164	-3.6758	37.19986	39
XAL	-0.01257	38.74377	2
SE4	-5.46455	37.93444	3
J12	-3.98525	38.02848	4
SE9	-5.6458	37.46622	7
DMG	-5.59829	40.32705	8
AHG	-4.71777	36.65102	8
COR	-1.15544	37.92552	8
FRC	-6.0634	40.52079	8
PMA	-5.60557	40.4397	9
DZ	-3.45938	40.54654	9
CARR	-1.29827	37.86166	9
JDS	-6.55662	40.63048	9
SE6	-5.71933	37.38954	9
AGU	-1.60133	37.4166	12
CAn	-2.2885	38.02457	12
CALMU	-1.70916	38.2366	13
POZ	-0.98967	37.71486	19
ESCO	-0.82297	37.59126	29
CO96	-5.2172	37.94705	40
TOT	-1.50849	37.86474	61
PB	-7.84521	43.64658	1
CVC	-7.2717	42.17946	1
AGOA	-0.63942	38.44074	3
ALMD	-4.86597	38.79767	5
LUB	-1.9547	37.21498	6
GR41	-3.06217	36.76336	6
CALA	-0.23618	38.65738	7
ALG	-1.10493	37.94341	8
BEn	-0.83745	38.08008	10
HIG	-0.78051	37.84557	17
LUCAL	-2.42777	37.39961	28
B21	-3.31328	42.1141	1
EnG	-0.68535	38.98091	2
LCB	-3.11069	40.53344	6
VEO	-1.42365	38.2437	10
nIJ	-2.20578	36.96837	14
LUM	-1.79434	37.5528	37
JM	-4.05811	38.0443	52
B1	-3.34576	42.1363	1
B41	-3.70976	42.17155	1
HER	-0.44108	39.91402	1
MFT	-7.56057	42.5253	6
BOR	-8.59495	42.43546	6
YEB	-3.11069	40.53344	7
B9	-3.11198	41.99514	1
YEC	-1.43847	38.07155	3
YLA	-1.11478	38.62121	6
AC3	-5.28648	43.15502	2
BOA	2.85697	42.33195	4
AZH	-3.26138	40.57081	4
GES	-0.83414	39.60542	6
H146	-6.86867	38.13715	11
CAR	-0.44642	39.12525	13
AC1	-5.31871	43.19836	1
TCM	-3.87072	43.34561	1
BnC	0.40954	40.41885	2
AFS	-1.19009	40.23443	2
IVIA	-0.3997	39.54426	2
AC4	-5.21149	43.10225	3
LORV	-0.5706	39.49007	5
MUL	-1.3795	38.0836	41
GIU	-5.73537	43.29725	2
FRA	0.73291	41.04395	2
CULL	-0.16449	40.34157	1
OGA	2.2767	42.26973	1
CZX	-3.11069	40.53344	1
H2211	-6.84518	38.06991	1
OBB	-0.89418	40.84735	1
MAZ	-1.30849	37.58761	21
ACA	1.78942	41.64294	3
AnGL	2.6423	41.95926	5
PER	0.71182	40.87594	3
BORR	-0.07104	40.04538	6
FAB	-0.1705	40.21877	3
PORT	-8.43974	41.23287	49
EVOR	-7.88312	38.70005	25
